Date,timestamp,open,high,low,close,volume,Signal,quote_av,trades,tb_base_av,tb_quote_av
2023/3/11,2023-03-11 11:00:00+00:00,20035.98,20107.99,19971.71,20086.07,15409.2743,48871.0975,308922231.9,382619,7819.6668,156776369.8
2023/3/11,2023-03-11 12:00:00+00:00,20086.07,20129.06,20030,20031.65,11590.75024,49215.36938,232639613.8,333501,5756.27916,115544497.7
2023/3/11,2023-03-11 13:00:00+00:00,20032.41,20143.93,20030.01,20078.23,11421.45925,49417.81799,229530398,326770,5796.56,116489920.7
2023/3/11,2023-03-11 14:00:00+00:00,20077.14,20205.46,20072.82,20112.33,14586.02126,49608.78902,293756487.7,388377,7237.24647,145757383.1
2023/3/11,2023-03-11 15:00:00+00:00,20113.14,20147,20040.77,20061.98,12503.59402,49429.35588,251219328.1,369049,6120.83385,122986435.4
2023/3/11,2023-03-11 16:00:00+00:00,20062.77,20104.61,19992.24,20091.11,14989.7312,50826.91507,300593233.3,389778,7473.56513,149884948
2023/3/11,2023-03-11 17:00:00+00:00,20091.75,20331.44,20066,20246.92,19784.05771,50165.57135,399163816.9,436566,10281.81795,207422499.6
2023/3/11,2023-03-11 18:00:00+00:00,20245.48,20324.21,20197.64,20226.72,16153.81836,50130.9392,327158949.5,427510,7814.22989,158268112.2
2023/3/11,2023-03-11 19:00:00+00:00,20227.46,20252.88,20145.01,20220.96,11779.92271,51393.81432,238026329.9,327524,5929.04536,119807497
2023/3/11,2023-03-11 20:00:00+00:00,20220.98,20456,20214.63,20349.4,20386.69151,51899.75071,414248212,442692,10615.50535,215707437.1
2023/3/11,2023-03-11 21:00:00+00:00,20349.4,20364.49,20280,20353.91,11759.87704,51445.1321,238988137.9,366009,5831.87923,118520778.6
2023/3/11,2023-03-11 22:00:00+00:00,20353.91,20450,20300,20333.55,12228.3303,52258.31161,249092197.8,346872,6061.68109,123485412.7
2023/3/11,2023-03-11 23:00:00+00:00,20332.53,20529.91,20330.41,20455.73,13930.00649,53009.04023,284441886,337049,6810.28477,139078003.7
